# t(s), PGD_base(m), Drift_abs(m), Drift_norm(mm/m), Prob(%)
12.210, 0.000000e+00, 0.000000e+00, 0.00, 0.00
12.215, 5.369886e-08, 2.552582e-07, 0.00, 0.00
12.220, 5.369886e-08, 2.552582e-07, 0.00, 0.00
12.225, 2.331658e-07, 2.552582e-07, 0.00, 0.00
12.230, 5.601837e-07, 2.552582e-07, 0.00, 0.00
12.235, 7.838350e-07, 3.607079e-07, 0.00, 0.00
12.240, 7.866132e-07, 3.607079e-07, 0.00, 0.00
12.245, 7.866132e-07, 3.607079e-07, 0.00, 0.00
12.250, 7.866132e-07, 3.607079e-07, 0.00, 0.00
12.255, 7.866132e-07, 5.767914e-07, 0.00, 0.00
12.260, 7.866132e-07, 7.578857e-07, 0.00, 0.00
12.265, 7.866132e-07, 7.831416e-07, 0.00, 0.00
12.270, 7.866132e-07, 7.831416e-07, 0.00, 0.00
12.275, 7.866132e-07, 7.831416e-07, 0.00, 0.00
12.280, 7.866132e-07, 7.831416e-07, 0.00, 0.00
12.285, 1.148871e-06, 7.831416e-07, 0.00, 0.00
12.290, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.295, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.300, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.305, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.310, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.315, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.320, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.325, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.330, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.335, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.340, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.345, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.350, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.355, 1.415694e-06, 8.049872e-07, 0.00, 0.00
12.360, 1.415694e-06, 8.049872e-07, 0.00, 0.00
