# Indice, Tempo(s), Drift_abs(m), Drift_norm(mm/m), Disp_TOP(m), Disp_BASE(m), Allarme
1, 0.000000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
2, 0.005000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
3, 0.010000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
4, 0.015000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
5, 0.020000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
6, 0.025000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
7, 0.030000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
8, 0.035000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
9, 0.040000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
10, 0.045000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
11, 0.050000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
12, 0.055000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
13, 0.060000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
14, 0.065000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
15, 0.070000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
16, 0.075000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
17, 0.080000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
18, 0.085000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
19, 0.090000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
20, 0.095000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
21, 0.100000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
22, 0.105000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
23, 0.110000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
24, 0.115000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
25, 0.120000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
26, 0.125000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
27, 0.130000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
28, 0.135000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
29, 0.140000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
30, 0.145000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
31, 0.150000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
32, 0.155000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
33, 0.160000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
34, 0.165000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
35, 0.170000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
36, 0.175000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
37, 0.180000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
38, 0.185000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
39, 0.190000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
40, 0.195000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
41, 0.200000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
42, 0.205000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
43, 0.210000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
44, 0.215000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
45, 0.220000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
46, 0.225000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
47, 0.230000, 0.00000000e+00, 0.000000, 0.00000000e+00, 0.00000000e+00,  
